COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Sao Tome and Principe,STP,AFRO,REPORTING,07-12-2021,132705,85356,60.552,38.947,47349,21.605,"AstraZeneca - Vaxzevria,SII - Covishield",15-03-2021,2
Saudi Arabia,SAU,EMRO,REPORTING,09-12-2021,47927386,24744729,137.668,71.077,22730293,65.291,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",06-01-2021,4
Senegal,SEN,AFRO,REPORTING,09-12-2021,1928411,1334702,11.517,7.971,936623,5.594,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",23-02-2021,3
Serbia,SRB,EURO,REPORTING,14-11-2021,6353068,3257012,91.7,47.021,3096056,44.697,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,5
Seychelles,SYC,AFRO,REPORTING,29-11-2021,179462,81937,182.478,83.314,77951,79.261,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",10-01-2021,4
Sierra Leone,SLE,AFRO,REPORTING,08-12-2021,923880,747044,11.582,9.365,385232,4.829,"Beijing CNBG - BBIBP-CorV,SII - Covishield",15-03-2021,2
Singapore,SGP,WPRO,REPORTING,03-12-2021,9489264,4744632,162.2,81.1,4744632,81.1,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
Sint Eustatius,XBA,AMRO,REPORTING,03-12-2021,2963,1509,94.393,48.073,1454,46.32,,,
Sint Maarten,SXM,AMRO,REPORTING,03-12-2021,51856,26935,120.927,62.812,24921,58.115,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",22-02-2021,3
Slovakia,SVK,EURO,REPORTING,05-12-2021,5544665,2678746,101.6,49.08,2378303,46.448,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",06-01-2021,5
Slovenia,SVN,EURO,REPORTING,05-12-2021,2569296,1225991,122.6,58.496,1021717,55.25,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Solomon Islands,SLB,WPRO,REPORTING,03-12-2021,228912,176593,33.326,25.709,52319,7.617,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",23-03-2021,3
Somalia,SOM,EMRO,REPORTING,09-12-2021,1147627,892093,7.221,5.613,664422,4.181,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac",16-03-2021,4
South Africa,ZAF,AFRO,REPORTING,05-12-2021,26348830,17840592,44.427,30.081,14948436,25.204,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",17-02-2021,2
South Sudan,SSD,AFRO,REPORTING,06-12-2021,257941,219733,2.304,1.963,172441,1.541,"Janssen - Ad26.COV 2-S,SII - Covishield",06-04-2021,2
Spain,ESP,EURO,REPORTING,28-11-2021,75707249,38302534,159.9,80.922,33175769,74.264,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
Sri Lanka,LKA,SEARO,REPORTING,07-12-2021,29720188,15948495,138.793,74.48,13771693,64.314,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",29-01-2021,6
Sudan,SDN,EMRO,REPORTING,08-12-2021,3276654,2782463,7.473,6.346,1234386,2.815,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",09-03-2021,5
Suriname,SUR,AMRO,REPORTING,03-12-2021,489648,258304,83.468,44.032,220663,37.615,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",23-02-2021,5
Sweden,SWE,EURO,REPORTING,05-12-2021,15838516,7333414,153.4,71.008,7061847,68.378,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,3
Switzerland,CHE,EURO,REPORTING,28-11-2021,11208899,5839533,129.5,67.854,5369366,62.826,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,3
Syrian Arab Republic,SYR,EMRO,REPORTING,28-11-2021,1422377,890837,8.128,5.09,739210,4.224,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac",01-04-2021,6
Tajikistan,TJK,EURO,REPORTING,05-12-2021,5711036,3118206,59.9,32.694,2592830,27.185,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",24-03-2021,6
Thailand,THA,SEARO,REPORTING,04-12-2021,91549177,49129722,131.159,70.386,42419455,60.773,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",28-02-2021,7
The United Kingdom,GBR,EURO,REPORTING,06-12-2021,118256323,51118266,174.2,75.108,46438778,68.407,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",21-12-2020,3
Timor-Leste,TLS,SEARO,REPORTING,07-12-2021,1142003,652294,86.617,49.474,489709,37.143,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",07-04-2021,4
Togo,TGO,AFRO,REPORTING,03-12-2021,1930935,1281856,23.324,15.484,649079,7.84,SII - Covishield,10-03-2021,1
Tokelau,TKL,WPRO,REPORTING,28-09-2021,1936,968,143.407,71.704,968,71.704,Pfizer BioNTech - Comirnaty,20-07-2021,1
Tonga,TON,WPRO,REPORTING,29-11-2021,119535,73296,113.094,69.347,46239,43.748,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",14-04-2021,2
Trinidad and Tobago,TTO,AMRO,REPORTING,03-12-2021,1292690,690768,92.369,49.359,645833,46.148,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",17-02-2021,5
Tunisia,TUN,EMRO,REPORTING,01-12-2021,11736386,7289379,99.304,61.677,5176785,43.802,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",13-03-2021,7
Turkey,TUR,EURO,OWID,07-12-2021,120910438,56371961,143.4,67.791,51375142,60.915,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2
Turkmenistan,TKM,EURO,REPORTING,29-08-2021,7580976,4374694,125.7,72.535,3206282,53.162,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SRCVB - EpiVacCorona",24-02-2021,4
Turks and Caicos Islands,TCA,AMRO,REPORTING,03-12-2021,56343,29210,145.521,75.443,27133,70.079,Pfizer BioNTech - Comirnaty,11-01-2021,1
Tuvalu,TUV,WPRO,REPORTING,22-10-2021,12114,6230,102.731,52.832,5884,49.898,AstraZeneca - Vaxzevria,13-04-2021,1
Uganda,UGA,AFRO,REPORTING,09-12-2021,7813170,6525371,17.081,14.266,1287799,2.815,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",10-03-2021,5
Ukraine,UKR,EURO,REPORTING,05-12-2021,25537214,13791313,58.4,31.535,11745901,26.859,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",24-02-2021,6
United Arab Emirates,ARE,EMRO,REPORTING,09-12-2021,22080184,,223.249,,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield",14-12-2020,5
United Republic of Tanzania,TZA,AFRO,REPORTING,06-12-2021,1699523,1592897,2.845,2.667,1078102,1.805,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",28-07-2021,3
United States of America,USA,AMRO,REPORTING,03-12-2021,453084481,233590300,136.882,70.571,193145534,58.352,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",14-12-2020,3
Uruguay,URY,AMRO,REPORTING,03-12-2021,6809642,2751480,196.033,79.208,2658563,76.533,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",27-02-2021,3
Uzbekistan,UZB,EURO,REPORTING,28-11-2021,31381575,16185263,93.8,48.359,10127572,25.093,"Anhui ZL - Recombinant,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",28-04-2021,6
Vanuatu,VUT,WPRO,REPORTING,28-11-2021,141476,96141,46.062,31.302,45349,14.765,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",02-06-2021,2
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,03-12-2021,26314390,16415684,92.539,57.729,9858581,34.669,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",22-02-2021,4
Viet Nam,VNM,WPRO,REPORTING,02-12-2021,125955995,72731280,129.4,74.72,53224715,54.68,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",08-03-2021,6
Wallis and Futuna,WLF,WPRO,REPORTING,26-11-2021,11939,6016,106.162,53.495,5923,52.668,Moderna - Spikevax,19-03-2021,1
Yemen,YEM,EMRO,REPORTING,02-12-2021,786027,556652,2.635,1.866,366587,1.229,"Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac",20-04-2021,3
Zambia,ZMB,AFRO,REPORTING,18-11-2021,985443,806611,5.36,4.388,626900,3.41,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",14-04-2021,3
Zimbabwe,ZWE,AFRO,REPORTING,03-12-2021,6681261,3829636,44.953,25.766,2851625,19.186,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",18-02-2021,4
