COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Brazil,BRA,AMRO,REPORTING,03-12-2021,312827402,159191203,147.172,74.893,139521777,65.639,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",17-01-2021,5
British Virgin Islands,VGB,AMRO,REPORTING,03-12-2021,34992,18288,115.726,60.482,16704,55.244,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",11-02-2021,2
Brunei Darussalam,BRN,WPRO,REPORTING,26-11-2021,757477,401948,173.146,91.878,341644,78.094,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",03-04-2021,5
Bulgaria,BGR,EURO,REPORTING,05-12-2021,3404130,1904143,49,27.392,1373171,25.949,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
Burkina Faso,BFA,AFRO,REPORTING,06-12-2021,512972,459795,2.454,2.2,334172,1.599,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",02-06-2021,3
Burundi,BDI,AFRO,REPORTING,09-12-2021,3396,2259,0.029,0.019,1472,0.012,Beijing CNBG - BBIBP-CorV,18-10-2021,1
Cabo Verde,CPV,AFRO,REPORTING,03-12-2021,550192,299770,98.958,53.917,250238,45.008,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",18-03-2021,4
Cambodia,KHM,WPRO,REPORTING,03-12-2021,28908865,14165298,172.911,84.726,13437233,80.371,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac",10-02-2021,5
Cameroon,CMR,AFRO,REPORTING,06-12-2021,970440,792208,3.656,2.984,611800,2.305,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",12-04-2021,4
Canada,CAN,AMRO,REPORTING,03-12-2021,61432344,30414980,162.769,80.586,28958386,76.727,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",14-12-2020,5
Cayman Islands,CYM,AMRO,REPORTING,03-12-2021,125717,58143,191.292,88.471,56187,85.495,Pfizer BioNTech - Comirnaty,15-01-2021,1
Central African Republic,CAF,AFRO,REPORTING,04-12-2021,436772,375096,9.043,7.766,334906,6.934,"Bharat - Covaxin,SII - Covishield",19-03-2021,2
Chad,TCD,AFRO,REPORTING,05-12-2021,275026,198522,1.674,1.209,76504,0.466,Beijing CNBG - BBIBP-CorV,04-06-2021,1
Chile,CHL,AMRO,REPORTING,03-12-2021,41313356,16888965,216.117,88.349,16189202,84.688,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",21-12-2020,4
China,CHN,WPRO,REPORTING,03-12-2021,2543206400,1240402779,172.856,84.307,1089865418,74.076,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Inactivated,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",22-07-2020,8
Colombia,COL,AMRO,REPORTING,03-12-2021,57886953,36210872,113.765,71.165,24884650,48.906,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",17-02-2021,5
Comoros,COM,AFRO,REPORTING,30-11-2021,523256,281946,60.172,32.422,241310,27.75,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",10-04-2021,3
Congo,COG,AFRO,REPORTING,04-12-2021,683571,550142,12.388,9.97,512017,9.279,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",23-03-2021,4
Cook Islands,COK,WPRO,REPORTING,06-12-2021,25339,12841,144.267,73.11,12498,71.157,Pfizer BioNTech - Comirnaty,17-05-2021,1
Costa Rica,CRI,AMRO,REPORTING,03-12-2021,7137983,3887480,140.122,76.313,3215091,63.114,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",24-12-2020,2
Côte d’Ivoire,CIV,AFRO,REPORTING,05-12-2021,4528780,3120320,17.169,11.829,1408460,5.339,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01-03-2021,5
Croatia,HRV,EURO,REPORTING,05-12-2021,4253122,2206838,104.8,54.426,1803116,48.844,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Cuba,CUB,AMRO,REPORTING,03-12-2021,28541948,10181265,251.99,89.888,9255012,81.71,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3
Curaçao,CUW,AMRO,REPORTING,03-12-2021,198229,102964,120.803,62.747,95265,58.055,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",24-02-2021,3
Cyprus,CYP,EURO,REPORTING,05-12-2021,1355225,626943,152.6,70.601,581703,67.967,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Czechia,CZE,EURO,REPORTING,05-12-2021,13852879,6694231,129.5,62.598,6021160,59.987,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Democratic Republic of the Congo,COD,AFRO,REPORTING,07-12-2021,219768,162994,0.245,0.182,68345,0.076,SII - Covishield,19-04-2021,1
Denmark,DNK,EURO,REPORTING,05-12-2021,10355493,4880609,177.8,83.819,4702724,81.565,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",16-12-2020,4
Djibouti,DJI,EMRO,REPORTING,29-11-2021,117874,98370,11.931,9.956,59848,6.057,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",15-03-2021,6
Dominica,DMA,AMRO,REPORTING,03-12-2021,55760,28908,77.454,40.155,26852,37.299,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",12-02-2021,4
Dominican Republic,DOM,AMRO,REPORTING,03-12-2021,13840602,6881125,127.588,63.433,5610578,51.72,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",16-02-2021,3
Ecuador,ECU,AMRO,REPORTING,03-12-2021,25309620,13796237,143.454,78.196,11501793,65.192,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",20-01-2021,4
Egypt,EGY,EMRO,REPORTING,06-12-2021,43976245,27979218,42.973,27.341,16827971,16.444,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24-01-2021,6
El Salvador,SLV,AMRO,REPORTING,03-12-2021,9162122,4418275,141.256,68.118,4052305,62.476,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",17-02-2021,6
Equatorial Guinea,GNQ,AFRO,REPORTING,02-12-2021,446624,247933,31.834,17.672,198691,14.162,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",12-02-2021,2
Estonia,EST,EURO,REPORTING,05-12-2021,1724778,827305,129.8,62.251,703856,58.432,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Eswatini,SWZ,AFRO,REPORTING,08-12-2021,344255,302675,29.673,26.089,282886,24.383,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",19-03-2021,3
Ethiopia,ETH,AFRO,REPORTING,08-12-2021,10287037,6506893,8.948,5.66,3780144,3.288,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",13-03-2021,4
Falkland Islands (Malvinas),FLK,AMRO,OWID,14-04-2021,4407,2632,126.529,75.567,1775,50.962,AstraZeneca - AZD1222,,1
Faroe Islands,FRO,EURO,OWID,05-11-2021,78347,40205,160.334,82.278,38142,78.056,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Fiji,FJI,WPRO,REPORTING,03-12-2021,1245234,655857,138.908,73.162,589377,65.746,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",07-03-2021,3
Finland,FIN,EURO,REPORTING,05-12-2021,8727244,4304590,158,77.907,4055461,73.398,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
France,FRA,EURO,REPORTING,05-12-2021,108887107,52095319,161.7,77.384,46428730,70.526,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
French Guiana,GUF,AMRO,REPORTING,03-12-2021,171617,88733,57.458,29.708,77801,26.048,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",13-01-2021,2
French Polynesia,PYF,WPRO,REPORTING,03-12-2021,321000,165041,114.272,58.753,155959,55.52,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",18-01-2021,2
Gabon,GAB,AFRO,REPORTING,04-12-2021,328721,186639,14.769,8.386,142082,6.384,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",23-03-2021,3
Gambia,GMB,AFRO,REPORTING,02-12-2021,271166,239974,11.221,9.93,226037,9.353,"Beijing CNBG - BBIBP-CorV,SII - Covishield",10-03-2021,2
Georgia,GEO,EURO,REPORTING,05-12-2021,2043861,1121247,51.2,28.107,922614,23.128,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",17-03-2021,4
Germany,DEU,EURO,REPORTING,05-12-2021,127820557,59876345,153.7,71.996,53897378,69.013,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Ghana,GHA,AFRO,REPORTING,07-12-2021,3162666,4332334,10.178,13.942,1565507,5.038,"Gamaleya - Gam-Covid-Vac,SII - Covishield",02-03-2021,2
Gibraltar,GIB,EURO,OWID,07-12-2021,101255,41010,300.54,121.724,39870,118.34,Pfizer BioNTech - Comirnaty,,1
Greece,GRC,EURO,REPORTING,05-12-2021,15004448,7148855,140,66.696,6148203,62.306,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Greenland,GRL,EURO,OWID,07-12-2021,77821,40274,137.076,70.94,37547,66.136,Moderna - mRNA-1273,,1
Grenada,GRD,AMRO,REPORTING,03-12-2021,75154,40561,66.79,36.047,34593,30.743,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",15-02-2021,4
Guadeloupe,GLP,AMRO,REPORTING,03-12-2021,272920,136191,68.209,34.037,126889,31.712,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",08-01-2021,5
Guam,GUM,WPRO,REPORTING,07-12-2021,276082,137181,163.58,81.28,124588,73.819,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",04-01-2021,3
Guatemala,GTM,AMRO,REPORTING,03-12-2021,10129197,6023553,56.539,33.622,4105644,22.917,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",25-02-2021,5
Guernsey,GGY,EURO,OWID,22-11-2021,104131,,161.524,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Guinea,GIN,AFRO,REPORTING,08-12-2021,2611403,1684683,19.885,12.828,926720,7.057,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",05-03-2021,6
Guinea-Bissau,GNB,AFRO,REPORTING,07-12-2021,388626,368424,19.747,18.721,20202,1.027,"Beijing CNBG - BBIBP-CorV,SII - Covishield",02-04-2021,2
Guyana,GUY,AMRO,REPORTING,03-12-2021,682779,402142,86.807,51.127,280637,35.679,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",11-02-2021,6
Haiti,HTI,AMRO,REPORTING,03-12-2021,178044,114993,1.561,1.008,63392,0.556,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",,2
Honduras,HND,AMRO,REPORTING,03-12-2021,9030824,4927085,91.178,49.745,3891577,39.291,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",26-02-2021,6
Hungary,HUN,EURO,REPORTING,05-12-2021,14474297,6105079,148.2,62.491,5617870,59.599,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",23-12-2020,7
Iceland,ISL,EURO,REPORTING,05-12-2021,666115,284787,182.9,78.209,226263,76.993,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
India,IND,SEARO,REPORTING,07-12-2021,1294608045,804768300,93.812,58.316,489839745,35.496,"Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield",16-01-2021,5
Indonesia,IDN,SEARO,REPORTING,07-12-2021,243523258,143489448,89.032,52.46,100033810,36.572,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",13-01-2021,6
Iran (Islamic Republic of),IRN,EMRO,REPORTING,04-12-2021,107074736,57992145,127.481,69.044,47968346,57.11,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Shifa - COVIran Barakat",09-02-2021,6
Iraq,IRQ,EMRO,REPORTING,08-12-2021,12912613,7880958,32.103,19.593,5028072,12.501,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",02-03-2021,4
Ireland,IRL,EURO,REPORTING,05-12-2021,8420953,3868206,169.6,77.918,3567093,76.617,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
Isle of Man,IMN,EURO,OWID,07-12-2021,133260,68400,156.717,80.44,64860,76.277,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Israel,ISR,EURO,REPORTING,21-11-2021,11998349,6248624,138.6,72.192,5749725,66.428,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",16-12-2020,3
Italy,ITA,EURO,REPORTING,05-12-2021,98011441,47044460,164.3,78.883,42296923,73.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Jamaica,JAM,AMRO,REPORTING,03-12-2021,1123483,676710,37.941,22.853,516958,17.458,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",10-03-2021,4
Japan,JPN,WPRO,REPORTING,02-12-2021,197423151,99861506,156.095,78.957,97558098,77.135,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty",17-02-2021,4
Jersey,JEY,EURO,OWID,02-12-2021,187228,79851,173.687,74.076,75335,69.887,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Jordan,JOR,EMRO,REPORTING,08-12-2021,8122926,4199282,79.612,41.157,3795860,37.203,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",13-01-2021,6
Kazakhstan,KAZ,EURO,REPORTING,05-12-2021,17373619,8888893,92.5,47.34,8484726,45.188,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",07-04-2021,5
Kenya,KEN,AFRO,REPORTING,08-12-2021,7893165,4776131,14.679,8.882,3117034,5.797,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",05-03-2021,5
Kiribati,KIR,WPRO,REPORTING,19-11-2021,82167,59492,68.788,49.805,22675,18.983,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",26-05-2021,2
Kosovo,XKX,EURO,REPORTING,28-11-2021,1614212,853209,89.9,47.515,761003,42.38,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Kuwait,KWT,EMRO,REPORTING,09-12-2021,6636245,3314143,155.395,77.604,3179881,74.46,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",28-12-2020,5
Kyrgyzstan,KGZ,EURO,REPORTING,05-12-2021,2005212,1105584,30.7,16.946,899628,13.789,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",31-03-2021,5
Lao People's Democratic Republic,LAO,WPRO,REPORTING,23-11-2021,5830021,3744740,80.132,51.47,3099003,42.595,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",25-11-2020,8
Latvia,LVA,EURO,REPORTING,05-12-2021,2237353,1231547,117.3,64.557,907613,60.839,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
Lebanon,LBN,EMRO,REPORTING,09-12-2021,4188998,2179365,61.373,31.93,1833112,26.857,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",14-02-2021,4
Lesotho,LSO,AFRO,REPORTING,08-12-2021,635881,626669,29.683,29.253,618414,28.868,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",10-03-2021,3
Liberia,LBR,AFRO,REPORTING,30-11-2021,597913,506647,11.822,10.017,476276,9.417,SII - Covishield,01-04-2021,1
Libya,LBY,EMRO,REPORTING,08-12-2021,2503441,1769821,36.433,25.757,733620,10.677,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",11-04-2021,7
Liechtenstein,LIE,OTHER,OWID,06-12-2021,52215,25799,134.759,66.583,25244,65.151,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Lithuania,LTU,EURO,REPORTING,05-12-2021,3758144,1878376,134.5,67.384,1532352,63.946,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Luxembourg,LUX,EURO,REPORTING,05-12-2021,912150,438446,145.7,70.027,382337,67.473,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30-12-2020,4
Madagascar,MDG,AFRO,REPORTING,06-12-2021,742069,589003,2.68,2.127,541160,1.954,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",10-05-2021,3
Malawi,MWI,AFRO,REPORTING,07-12-2021,1482315,1152998,7.749,6.027,620710,3.245,"Janssen - Ad26.COV 2-S,SII - Covishield",11-03-2021,2
Malaysia,MYS,WPRO,REPORTING,03-12-2021,53960016,25872462,166.718,79.937,25242933,77.992,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24-02-2021,5
Maldives,MDV,SEARO,REPORTING,06-12-2021,760818,396004,140.75,73.26,364814,67.49,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",01-02-2021,8
Mali,MLI,AFRO,REPORTING,08-12-2021,963968,822145,4.76,4.06,348728,1.722,SII - Covishield,31-03-2021,1
Malta,MLT,EURO,REPORTING,05-12-2021,953044,425906,185.2,82.77,389349,81.822,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23-12-2020,4
Marshall Islands,MHL,WPRO,REPORTING,07-12-2021,46001,25336,77.712,42.802,22246,37.582,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",29-12-2020,3
Martinique,MTQ,AMRO,REPORTING,03-12-2021,276802,136122,73.762,36.274,127703,34.03,Pfizer BioNTech - Comirnaty,,1
Mauritania,MRT,AFRO,REPORTING,08-12-2021,1795467,1097581,38.615,23.606,697886,15.009,"Beijing CNBG - BBIBP-CorV,SII - Covishield",26-03-2021,2
Mauritius,MUS,AFRO,REPORTING,23-11-2021,1875132,916524,147.443,72.067,914936,71.942,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",26-01-2021,3
Mexico,MEX,AMRO,REPORTING,03-12-2021,133256228,77366309,103.353,60.005,65166868,50.543,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24-12-2020,7
Micronesia (Federated States of),FSM,WPRO,REPORTING,07-12-2021,80217,48006,69.74,41.736,42937,37.329,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",13-01-2021,4
Monaco,MCO,EURO,REPORTING,16-09-2021,49980,26672,127.4,67.965,23308,59.393,Pfizer BioNTech - Comirnaty,30-06-2021,1
Mongolia,MNG,WPRO,REPORTING,03-12-2021,5140585,2261281,156.807,68.977,2152911,65.672,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",23-02-2021,6
Montenegro,MNE,EURO,REPORTING,21-11-2021,489237,261477,77.9,42.047,227760,36.625,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",24-02-2021,4
Montserrat,MSR,AMRO,REPORTING,03-12-2021,2949,1531,58.992,30.626,1417,28.346,AstraZeneca - Vaxzevria,08-02-2021,1
Morocco,MAR,EMRO,REPORTING,08-12-2021,49191138,24547579,133.271,66.506,22844707,61.892,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",28-01-2021,5
Mozambique,MOZ,AFRO,REPORTING,03-12-2021,10799768,6685501,34.553,21.39,4114267,13.163,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",08-03-2021,3
Myanmar,MMR,SEARO,REPORTING,30-11-2021,28707770,16849172,52.762,30.967,11858598,21.795,"Beijing CNBG - BBIBP-CorV,SII - Covishield",27-01-2021,2
Namibia,NAM,AFRO,REPORTING,03-12-2021,596748,372139,23.486,14.646,314899,12.393,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",19-03-2021,4
Nauru,NRU,WPRO,REPORTING,20-08-2021,14790,7612,136.515,70.26,7178,66.254,"AstraZeneca - Vaxzevria,SII - Covishield",09-04-2021,2
Nepal,NPL,SEARO,REPORTING,06-12-2021,19157444,10431659,65.75,35.802,8725785,29.948,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",27-01-2021,7
Netherlands,NLD,EURO,REPORTING,05-12-2021,25205080,13274774,144.8,76.259,11233761,69.505,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",06-01-2021,4
New Caledonia,NCL,WPRO,REPORTING,03-12-2021,351877,181073,123.25,63.424,170804,59.827,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",20-01-2021,2
New Zealand,NZL,WPRO,REPORTING,03-12-2021,7170281,3786316,148.692,78.518,3383965,70.174,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax - Covavax,Pfizer BioNTech - Comirnaty",19-02-2021,4
Nicaragua,NIC,AMRO,REPORTING,03-12-2021,6376188,4053890,96.251,61.195,2322298,35.056,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",02-03-2021,8
Niger,NER,AFRO,REPORTING,28-11-2021,971636,507223,4.014,2.095,464413,1.919,"Beijing CNBG - BBIBP-CorV,SII - Covishield",29-03-2021,2
